stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
7,Performance Validation,efficiencyTest,Efficiency Testing Status,select,required,required,"Target Achieved,Below Target,Testing In Progress",efficiency_validation,Status of system efficiency testing,Not Implemented,functionality,,,,Add efficiency benchmarking,high
7,Performance Validation,capacityTest,Capacity Testing Status,select,required,required,"Full Capacity Achieved,Partial Capacity,Testing In Progress",capacity_validation,Status of system capacity testing,Not Implemented,functionality,,,,Add capacity verification procedures,high
7,Performance Validation,accuracyTest,Accuracy Testing Status,select,optional,optional,"Within Tolerance,Outside Tolerance,Testing In Progress,Not Applicable",precision_validation,Status of system accuracy testing,Not Implemented,functionality,,,,Add accuracy calibration procedures,medium
7,Performance Validation,responseTimeTest,Response Time Testing,select,optional,optional,"Within Limits,Exceeds Limits,Testing In Progress,Not Applicable",performance_validation,Status of system response time testing,Not Implemented,functionality,,,,Add response time optimization,medium
7,Performance Validation,reliabilityTest,Reliability Testing Status,select,required,required,"Reliable,Reliability Issues,Testing In Progress",reliability_validation,Status of system reliability testing,Not Implemented,functionality,,,,Add reliability improvement tracking,high
7,Safety System Validation,emergencyShutdownTest,Emergency Shutdown Testing,select,required,required,"Passed,Failed,Testing In Progress",safety_validation,Status of emergency shutdown system testing,Not Implemented,functionality,,,,Add emergency response automation,high
7,Safety System Validation,safetyInterlockTest,Safety Interlock Testing,select,required,required,"Passed,Failed,Testing In Progress",safety_validation,Status of safety interlock system testing,Not Implemented,functionality,,,,Add interlock verification procedures,high
7,Safety System Validation,alarmSystemTest,Alarm System Testing,select,required,required,"Passed,Failed,Testing In Progress",safety_validation,Status of alarm system testing,Not Implemented,functionality,,,,Add alarm system integration,medium
7,Safety System Validation,protectiveDeviceTest,Protective Device Testing,select,required,required,"Passed,Failed,Testing In Progress",safety_validation,Status of protective device testing,Not Implemented,functionality,,,,Add protective device certification,medium
7,Safety System Validation,safetyCertification,Safety Certification Status,select,optional,optional,"Certified,Conditional,Rejected,Pending",safety_compliance,Status of safety system certification,Not Implemented,functionality,,,,Add safety certification automation,high
7,Documentation & Certification,operatingManuals,Operating Manuals Status,select,required,required,"Complete,Incomplete,Under Review",documentation_requirement,Status of system operating manuals,Not Implemented,functionality,,,,Add manual completeness verification,high
7,Documentation & Certification,maintenanceManuals,Maintenance Manuals Status,select,required,required,"Complete,Incomplete,Under Review",documentation_requirement,Status of maintenance procedure manuals,Not Implemented,functionality,,,,Add maintenance manual integration,high
7,Documentation & Certification,testCertificates,Test Certificates Status,select,required,required,"All Received,Partial,Pending",certification_requirement,Status of system test certificates,Not Implemented,functionality,,,,Add certificate verification automation,high
7,Documentation & Certification,warrantyDocuments,Warranty Documents Status,select,required,required,"Complete,Incomplete,Pending",documentation_requirement,Status of equipment warranty documents,Not Implemented,functionality,,,,Add warranty tracking system,medium
7,Documentation & Certification,asBuiltDrawings,As-Built Drawings Status,select,required,required,"Complete,Incomplete,Under Review",documentation_requirement,Status of as-built engineering drawings,Not Implemented,functionality,,,,Add drawing revision control,high
7,Documentation & Certification,commissioningCertificate,Commissioning Certificate Status,select,optional,optional,"Issued,Conditional,Rejected,Pending",certification_outcome,Status of commissioning certificate,Not Implemented,functionality,,,,Add certificate issuance automation,high
7,Training & Handover,operatorTraining,Operator Training Status,select,required,required,"Completed,In Progress,Scheduled,Not Started",knowledge_transfer,Status of operator training program,Not Implemented,functionality,,,,Add training effectiveness assessment,high
7,Training & Handover,maintenanceTraining,Maintenance Training Status,select,required,required,"Completed,In Progress,Scheduled,Not Started",knowledge_transfer,Status of maintenance staff training,Not Implemented,functionality,,,,Add maintenance training certification,high
7,Training & Handover,systemHandoverDate,System Handover Date,date,optional,optional,date_format,commissioning_complete,Date when system was handed over,Not Implemented,field_design,,,,Add handover documentation automation,high
7,Training & Handover,handoverDocumentation,Handover Documentation Status,select,optional,optional,"Complete,Incomplete,Under Preparation",handover_requirement,Status of system handover documentation,Not Implemented,functionality,,,,Add handover checklist automation,high
7,Training & Handover,userAcceptance,User Acceptance Status,select,optional,optional,"Accepted,Conditional Acceptance,Rejected,Pending",acceptance_criteria,Status of user acceptance testing,Not Implemented,functionality,,,,Add user acceptance criteria,high
7,Performance Testing Results,designCapacityAchievement,Design Capacity Achievement (%),number,"min=0 max=150",optional,percentage_value,performance_measurement,Percentage of design capacity achieved,Not Implemented,validation,,,,Add capacity optimization recommendations,high
7,Performance Testing Results,efficiencyAchievement,Efficiency Achievement (%),number,"min=0 max=120",optional,percentage_value,performance_measurement,Percentage of target efficiency achieved,Not Implemented,validation,,,,Add efficiency improvement tracking,high
7,Performance Testing Results,energyConsumption,Energy Consumption (kWh),number,"min=0",optional,numeric_positive,energy_measurement,Actual energy consumption during testing,Not Implemented,validation,,,,Add energy efficiency benchmarking,medium
7,Performance Testing Results,waterConsumption,Water Consumption (Liters),number,"min=0",optional,numeric_positive,water_measurement,Actual water consumption during testing,Not Implemented,validation,,,,Add water conservation tracking,medium
7,Performance Testing Results,noiseLevel,Noise Level (dB),number,"min=0 max=120",optional,decibel_measurement,environmental_measurement,Measured noise level during operation,Not Implemented,validation,,,,Add noise compliance verification,medium
7,Performance Testing Results,vibrationLevel,Vibration Level (mm/s),number,"min=0",optional,vibration_measurement,mechanical_measurement,Measured vibration level during operation,Not Implemented,validation,,,,Add vibration monitoring system,low
7,Issue Resolution,testingIssuesIdentified,Testing Issues Identified,number,"min=0",optional,numeric_positive,issue_tracking,Total number of issues identified during testing,Not Implemented,validation,,,,Add issue categorization system,high
7,Issue Resolution,criticalIssues,Critical Issues Count,number,"min=0",optional,numeric_positive,severity_tracking,Number of critical issues identified,Not Implemented,validation,,,,Add critical issue escalation,high
7,Issue Resolution,issuesResolved,Issues Resolved,number,"min=0",optional,numeric_positive,resolution_tracking,Number of testing issues resolved,Not Implemented,validation,,,,Add issue resolution tracking,high
7,Issue Resolution,pendingIssues,Pending Issues,number,"calculated readonly",calculated,identified_minus_resolved,auto_calculation,Number of issues pending resolution,Not Implemented,calculation,,,,Add pending issue management,high
7,Issue Resolution,issueResolutionTime,Average Issue Resolution Time (Days),number,"calculated readonly",calculated,auto_calculated_average,time_tracking,Average time for issue resolution,Not Implemented,calculation,,,,Add resolution time optimization,medium
7,Issue Resolution,retestingRequired,Retesting Required,select,optional,optional,"No Retesting,Partial Retesting,Complete Retesting",issue_impact,Level of retesting required after issue resolution,Not Implemented,functionality,,,,Add retesting procedures,high
7,Commissioning Approval,commissioning_team_lead,Commissioning Team Lead,text,required,required,team_member,team_assignment,Lead engineer for commissioning activities,Not Implemented,field_design,,,,Add team lead qualification tracking,medium
7,Commissioning Approval,external_commissioning_agency,External Commissioning Agency,text,optional,optional,agency_details,external_validation,Third-party commissioning agency (if applicable),Not Implemented,field_design,,,,Add agency certification verification,medium
7,Commissioning Approval,commissioning_report_status,Commissioning Report Status,select,required,required,"Draft,Under Review,Approved,Rejected",report_status,Status of commissioning report,Not Implemented,functionality,,,,Add report approval workflow,high
7,Commissioning Approval,commissioning_approval_date,Commissioning Approval Date,date,optional,optional,date_format,approval_granted,Date when commissioning was approved,Not Implemented,field_design,,,,Add approval notification system,medium
7,Commissioning Approval,commissioning_certificate_number,Commissioning Certificate Number,text,optional,optional,certificate_reference,certification_issued,Reference number of commissioning certificate,Not Implemented,validation,,,,Add certificate number validation,medium
7,Commissioning Approval,conditional_approval_conditions,Conditional Approval Conditions,textarea,optional,optional,free_text,conditional_approval,Conditions attached to commissioning approval,Not Implemented,field_design,,,,Add condition tracking system,high
7,Final System Status,system_operational_status,System Operational Status,select,required,required,"Fully Operational,Partially Operational,Not Operational",operational_assessment,Overall operational status of commissioned system,Not Implemented,functionality,,,,Add operational status monitoring,high
7,Final System Status,system_performance_rating,System Performance Rating,select,required,required,"Excellent,Good,Satisfactory,Poor",performance_assessment,Overall performance rating of commissioned system,Not Implemented,field_design,,,,Add performance rating standards,high
7,Final System Status,handover_to_operations,Handover to Operations Status,select,required,required,"Completed,Scheduled,Pending",transition_management,Status of handover to operations team,Not Implemented,functionality,,,,Add operations handover automation,high
7,Final System Status,commissioning_completion_date,Commissioning Completion Date,date,optional,optional,date_format,commissioning_finished,Date when commissioning was completed,Not Implemented,field_design,,,,Add completion milestone tracking,medium
7,Final System Status,next_maintenance_date,Next Maintenance Due Date,date,"calculated readonly",calculated,commissioning_plus_interval,maintenance_scheduling,Calculated date for next scheduled maintenance,Not Implemented,calculation,,,,Add maintenance calendar integration,medium
