stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
9,Monthly Performance Report,monthlyMaintCost,Monthly Maintenance Cost (₹ Lakhs),number,"step=0.01 min=0",optional,numeric_positive,cost_tracking,Actual maintenance cost for current month,✓ Implemented,validation,,,,Add maintenance cost trend analysis,medium
9,Monthly Performance Report,userSatisfactionMonthly,Monthly User Satisfaction,number,"min=1 max=10 step=0.1",optional,1_to_10_scale,satisfaction_tracking,User satisfaction score for current month,✓ Implemented,validation,,,,Add satisfaction trend monitoring,medium
9,Monthly Performance Report,breakdownIncidents,Monthly Breakdown Incidents,number,"min=0",optional,numeric_positive,incident_tracking,Number of breakdown incidents in current month,✓ Implemented,validation,,,,Add breakdown cause analysis,high
9,Monthly Performance Report,maintenanceActivities,Monthly Maintenance Activities,textarea,optional,optional,free_text,activity_tracking,Maintenance activities performed in current month,✓ Implemented,field_design,,,,Add activity effectiveness measurement,medium
9,Monthly Performance Report,monthlyRemarks,Monthly Observations,textarea,optional,optional,free_text,reporting,Key observations and remarks for the month,✓ Implemented,field_design,,,,Add structured observation categories,medium
9,Monthly Performance Report,energyConsumption,Monthly Energy Consumption,number,"min=0",optional,numeric_positive,sustainability_tracking,Energy consumption for the current month,Not Implemented,field_design,,,,Add energy efficiency monitoring,medium
9,Long-term Asset Management,assetCondition,Current Asset Condition,textarea,"readonly multiline",calculated,condition_assessment,condition_monitoring,Comprehensive current condition assessment,✓ Implemented,field_design,,,,Add condition scoring methodology,high
9,Long-term Asset Management,assetLifeRemaining,Estimated Life Remaining (Years),number,"readonly calculated",calculated,auto_calculated_life,life_cycle_analysis,Estimated remaining useful life of asset,Not Implemented,calculation,,,,Add life cycle assessment tools,high
9,Long-term Asset Management,futureRequirements,Future Maintenance Requirements,textarea,optional,optional,free_text,forward_planning,Long-term maintenance and upgrade requirements,✓ Implemented,field_design,,,,Add predictive maintenance planning,high
9,Long-term Asset Management,replacementSchedule,Asset Replacement Schedule,textarea,optional,optional,free_text,lifecycle_planning,Schedule for major asset replacements,Not Implemented,field_design,,,,Add replacement cost planning,medium
9,Long-term Asset Management,upgradePlan,Technology Upgrade Plan,textarea,optional,optional,free_text,modernization_planning,Plan for technology upgrades and modernization,Not Implemented,field_design,,,,Add technology roadmap integration,medium
9,Long-term Asset Management,sustainabilityMeasures,Sustainability Measures,textarea,optional,optional,free_text,environmental_planning,Environmental and sustainability improvement measures,Not Implemented,field_design,,,,Add sustainability metrics tracking,medium
9,Financial Performance,totalLifeCycleCost,Total Life Cycle Cost (₹ Lakhs),number,"readonly calculated",calculated,auto_calculated_total,financial_analysis,Total cost including construction and O&M,Not Implemented,calculation,,,,Add life cycle cost optimization,high
9,Financial Performance,costPerBeneficiaryActual,Actual Cost Per Beneficiary (₹),number,"readonly calculated",calculated,auto_calculated_cost,impact_analysis,Actual cost per beneficiary based on final costs,Not Implemented,calculation,,,,Add cost-benefit realization tracking,medium
9,Financial Performance,returnOnInvestmentActual,Actual ROI (%),number,"readonly calculated",calculated,auto_calculated_roi,financial_analysis,Actual return on investment achieved,Not Implemented,calculation,,,,Add ROI improvement recommendations,medium
9,Financial Performance,annualOperatingCost,Annual Operating Cost (₹ Lakhs),number,"calculated readonly",calculated,annual_cost_calculation,cost_analysis,Total annual operating and maintenance cost,Not Implemented,calculation,,,,Add operating cost benchmarking,high
9,Performance Benchmarking,industryBenchmark,Industry Benchmark Comparison,select,optional,optional,"Above Average,Average,Below Average",benchmarking,Comparison with industry performance benchmarks,Not Implemented,functionality,,,,Add automated benchmark comparison,medium
9,Performance Benchmarking,similarProjectComparison,Similar Project Comparison,select,optional,optional,"Better,Comparable,Worse",comparative_analysis,Performance comparison with similar HMDA projects,Not Implemented,functionality,,,,Add project performance database,medium
9,Performance Benchmarking,bestPracticesImplemented,Best Practices Implemented,textarea,optional,optional,free_text,knowledge_management,Documentation of best practices implemented,Not Implemented,field_design,,,,Add best practices knowledge base,medium
9,Performance Benchmarking,lessonsLearned,Lessons Learned,textarea,optional,optional,free_text,knowledge_management,Key lessons learned for future projects,Not Implemented,field_design,,,,Add lessons learned database,high
