stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
4,Technical Compliance,methodStatement,Method Statement,select,required,required,"Approved,Under Review,Pending Submission",construction_methodology,Status of construction method statement,Not Implemented,functionality,,,,Add method statement template library,medium
4,Technical Compliance,qualityPlan,Quality Assurance Plan,select,required,required,"Approved,Under Review,Pending Submission",quality_framework,Status of quality assurance plan,Not Implemented,functionality,,,,Add QA plan compliance monitoring,high
4,Technical Compliance,safetyPlan,Safety Management Plan,select,required,required,"Approved,Under Review,Pending Submission",safety_framework,Status of safety management plan,Not Implemented,functionality,,,,Add safety plan implementation tracking,high
4,Project Team Assignment,projectManager,Project Manager,text,required,required,contractor_staff,key_personnel,Contractor's project manager details,Not Implemented,field_design,,,,Add project manager qualification verification,high
4,Project Team Assignment,siteEngineer,Site Engineer,text,required,required,contractor_staff,technical_supervision,Site engineer assigned by contractor,Not Implemented,field_design,,,,Add site engineer competency assessment,medium
4,Project Team Assignment,qualityController,Quality Controller,text,required,required,contractor_staff,quality_management,Quality controller assigned by contractor,Not Implemented,field_design,,,,Add quality controller certification tracking,high
4,Project Team Assignment,safetyOfficer,Safety Officer,text,required,required,contractor_staff,safety_management,Safety officer assigned by contractor,Not Implemented,field_design,,,,Add safety officer training verification,high
4,Project Team Assignment,hmdasupervision,HMDA Supervision Team,text,"readonly calculated",calculated,hmda_staff_assignment,departmental_assignment,HMDA staff assigned for project supervision,Not Implemented,field_design,,,,Add supervision team workload management,medium
4,Communication Protocol,reportingFrequency,Reporting Frequency,select,required,required,"Daily,Weekly,Bi-weekly,Monthly",communication_schedule,Frequency of progress reporting,Not Implemented,field_design,,,,Add reporting template standardization,medium
4,Communication Protocol,meetingSchedule,Meeting Schedule,select,required,required,"Weekly,Bi-weekly,Monthly,As Required",coordination_mechanism,Schedule for coordination meetings,Not Implemented,field_design,,,,Add meeting effectiveness tracking,low
4,Communication Protocol,communicationChannel,Primary Communication Channel,select,required,required,"Email,Project Portal,WhatsApp Group,Phone",communication_method,Primary channel for project communication,Not Implemented,field_design,,,,Add communication audit trail,medium
4,Communication Protocol,escalationMatrix,Escalation Matrix,text,"readonly calculated",calculated,predefined_escalation,conflict_resolution,Issue escalation hierarchy and contacts,Not Implemented,field_design,,,,Add escalation response time tracking,medium
4,Risk Management,contractRisks,Contract Risk Assessment,select,optional,optional,"Low Risk,Medium Risk,High Risk",risk_evaluation,Overall contract risk assessment,Not Implemented,functionality,,,,Add risk mitigation planning,high
4,Risk Management,financialRisks,Financial Risk Factors,textarea,optional,optional,free_text,risk_documentation,Identified financial risk factors,Not Implemented,field_design,,,,Add financial risk monitoring,high
4,Risk Management,technicalRisks,Technical Risk Factors,textarea,optional,optional,free_text,risk_documentation,Identified technical risk factors,Not Implemented,field_design,,,,Add technical risk assessment tools,medium
4,Risk Management,mitigationStrategies,Risk Mitigation Strategies,textarea,optional,optional,free_text,risk_management,Planned strategies for risk mitigation,Not Implemented,field_design,,,,Add mitigation effectiveness tracking,high
4,Final Checklist,allDocumentsReceived,All Documents Received,checkbox,required,required,"Yes,No",completion_prerequisite,Confirmation that all required documents received,Not Implemented,validation,,,,Add document checklist automation,high
4,Final Checklist,allApprovalsObtained,All Approvals Obtained,checkbox,required,required,"Yes,No",completion_prerequisite,Confirmation that all approvals are in place,Not Implemented,validation,,,,Add approval status dashboard,high
4,Final Checklist,contractReadyForExecution,Contract Ready for Execution,checkbox,required,required,"Yes,No",final_confirmation,Final confirmation for contract execution,Not Implemented,validation,,,,Add execution readiness assessment,high
4,Final Checklist,workOrderReadyToIssue,Work Order Ready to Issue,checkbox,required,required,"Yes,No",work_commencement,Confirmation for work order issuance,Not Implemented,validation,,,,Add work order issuance automation,high
